Country,Incidents
Afghanistan,1727
Albania,1
Algeria,138
Andorra,No Data Available
Angola,3
Antigua & Deps,No Data Available
Argentina,1
Armenia,No Data Available
Australia,No Data Available
Austria,No Data Available
Azerbaijan,No Data Available
Bahamas,2
Bahrain,No Data Available
Bangladesh,48
Barbados,No Data Available
Belarus,No Data Available
Belgium,No Data Available
Belize,1
Benin,1
Bhutan,No Data Available
Bolivia,8
Bosnia Herzegovina,No Data Available
Botswana,No Data Available
Brazil,10
Brunei,No Data Available
Bulgaria,No Data Available
Burkina,No Data Available
Burundi,2
Cambodia,19
Cameroon,33
Canada,1
Cape Verde,No Data Available
Central African Republic,3
Chad,18
Chile,No Data Available
China,8
Colombia,28
Comoros,19
Congo,9
Democratic Republic of Congo,20
Costa Rica,2
Croatia,No Data Available
Cuba,127
Cyprus,No Data Available
Czech Republic,No Data Available
Denmark,No Data Available
Djibouti,No Data Available
Dominica,No Data Available
Dominican Republic,51
East Timor,No Data Available
Ecuador,71
Egypt,70
El Salvador,144
Equatorial Guinea,No Data Available
Eritrea,59
Estonia,No Data Available
Ethiopia,187
Fiji,No Data Available
Finland,No Data Available
France,No Data Available
Gabon,No Data Available
Gambia,27
Georgia,1
Germany,No Data Available
Ghana,21
Greece,No Data Available
Grenada,No Data Available
Guatemala,321
Guinea,69
Guinea-Bissau,2
Guyana,2
Haiti,109
Honduras,326
Hungary,No Data Available
Iceland,No Data Available
India,10
Indonesia,22
Iran,20
Iraq,77
Ireland {Republic},No Data Available
Israel,20
Italy,No Data Available
Ivory Coast,60
Jamaica,3
Japan,No Data Available
Jordan,No Data Available
Kazakhstan,No Data Available
Kenya,1
Kiribati,No Data Available
North Korea,2
South Korea,1
Kosovo,No Data Available
Kuwait,No Data Available
Kyrgyzstan,1
Laos,1
Latvia,No Data Available
Lebanon,3
Lesotho,2
Liberia,9
Libya,17
Liechtenstein,No Data Available
Lithuania,No Data Available
Luxembourg,No Data Available
Macedonia,No Data Available
Madagascar,3
Malawi,3
Malaysia,2
Maldives,No Data Available
Mali,50
Malta,No Data Available
Marshall Islands,No Data Available
Mauritania,7
Mauritius,No Data Available
Mexico,734
Micronesia,No Data Available
Moldova,1
Monaco,No Data Available
Mongolia,No Data Available
Montenegro,No Data Available
Morocco,154
Mozambique,2
Myanmar,108
Namibia,No Data Available
Nauru,No Data Available
Nepal,3
Netherlands,No Data Available
New Zealand,No Data Available
Nicaragua,67
Niger,33
Nigeria,71
Norway,No Data Available
Oman,1
Pakistan,62
Palau,No Data Available
Panama,No Data Available
Papua New Guinea,1
Paraguay,2
Peru,9
Philippines,No Data Available
Poland,No Data Available
Portugal,No Data Available
Qatar,No Data Available
Romania,1
Russian Federation,1
Rwanda,No Data Available
St Kitts & Nevis,No Data Available
St Lucia,No Data Available
Saint Vincent & the Grenadines,No Data Available
Samoa,No Data Available
San Marino,No Data Available
Sao Tome & Principe,No Data Available
Saudi Arabia,No Data Available
Senegal,51
Serbia,No Data Available
Seychelles,No Data Available
Sierra Leone,11
Singapore,No Data Available
Slovakia,No Data Available
Slovenia,No Data Available
Solomon Islands,No Data Available
Somalia,60
South Africa,No Data Available
South Sudan,2
Spain,No Data Available
Sri Lanka,6
Sudan,97
Suriname,No Data Available
Swaziland,No Data Available
Sweden,No Data Available
Switzerland,No Data Available
Syria,364
Taiwan,No Data Available
Tajikistan,No Data Available
Tanzania,No Data Available
Thailand,1
Togo,6
Tonga,No Data Available
Trinidad & Tobago,No Data Available
Tunisia,59
Turkey,16
Turkmenistan,No Data Available
Tuvalu,No Data Available
Uganda,No Data Available
Ukraine,11
United Arab Emirates,No Data Available
United Kingdom,No Data Available
United States,No Data Available
Uruguay,1
Uzbekistan,2
Vanuatu,No Data Available
Vatican City,No Data Available
Venezuela,212
Vietnam,6
Yemen,16
Zambia,1
Zimbabwe,7
